objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"The Manhattan Project: Energy Empire","176734","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","46851799","7.19113","7.9285","3.1449","206","4038","thing","The Manhattan Project: Energy Empire","1","5","120","120","60","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","0","","0","0","0","0","0","1","0","0","0","1","","","","","","40837772","7.88478","8.24188","2.6339","20","16327","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Mascarade","139030","7","3","0","1","1","0","0","0","0","0","0","3","","","","","","42671678","6.50502","6.69207","1.5217","860","10272","thing","Mascarade","2","13","30","30","30","2013","5,6,7,8,9,10,11,12,13","7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Mascarade Expansion","163107","0","","0","1","1","0","0","0","0","0","0","1","","","","","","42691392","6.11647","7.32564","1.3158","0","2487","thing","Mascarade Expansion","2","13","30","30","30","2014","5,6,7,8,9,10,11,12,13","7,8,9","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Mascarade: The Damned","146565","0","","0","1","1","0","0","0","0","0","0","1","","","","","","47369017","5.59319","6.45526","1.5","0","1002","thing","Mascarade: The Damned","2","13","30","30","30","2013","4,5,6,7,8","5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Mascarade: Usurper","144984","0","","0","1","1","0","0","0","0","0","0","1","","","","","","47369018","5.68572","6.92857","1.6","0","968","thing","Mascarade: Usurper","0","0","0","0","0","2013","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Maskmen","159581","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","33898021","5.72167","6.46515","1.4545","3720","547","thing","Maskmen","2","6","20","20","20","2014","4,5,6","4,5,6","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Masters of Venice","40276","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921625","5.8878","6.65377","3.6133","2528","926","thing","Masters of Venice","2","5","90","90","90","2009","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Mechs vs. Minions","209010","1","","0","0","0","0","0","0","0","0","0","5","","Doto is a better game.","","","","37471184","7.87453","8.26305","2.4538","21","12698","thing","Mechs vs. Minions","2","4","90","90","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Meow","175861","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","32892400","5.40703","4.80577","1","14472","254","thing","Meow","2","9","5","5","1","2015","","","4+","","","","","","","standalone","","","","","","","","","","","",""
"Millennium Blades","151347","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","45745193","7.07408","7.91936","3.5972","278","3858","thing","Millennium Blades","2","5","120","120","80","2016","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Mini Rails","225818","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921717","5.9879","7.16485","2.4545","2080","530","thing","Mini Rails","3","5","60","60","40","2017","3,4,5","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Modern Art","118","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921723","7.16849","7.33049","2.3201","219","13486","thing","Modern Art","3","5","45","45","45","1992","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Mombasa","172386","8","1","0","0","0","0","0","0","0","0","1","2","","","","","","43838361","7.5937","7.96042","3.8697","59","8181","thing","Mombasa","2","4","150","150","75","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Monopoly","1406","0","","0","0","0","0","0","0","0","0","0","3","","","","","","31716680","4.34634","4.4033","1.6781","14834","26454","thing","Monopoly","2","8","180","180","60","1933","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Monopoly Deal Card Game","40398","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","32632282","6.07673","6.24925","1.3326","1788","11048","thing","Monopoly Deal Card Game","2","5","15","15","15","2008","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Monopoly: m&m's","24867","0","","0","0","0","0","0","0","0","0","0","1","","","","","","32173234","5.49041","4.775","0","0","31","thing","Monopoly: m&m's","2","6","60","60","60","0","","","","","","","","","","standalone","","","","","","","","","","","",""
"Mr. Jack","21763","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","38064057","6.93333","7.07381","2.1882","403","14858","thing","Mr. Jack","2","2","30","30","30","2006","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Munchkin","1927","6","","0","0","0","0","0","0","0","0","0","3","","","","","","31716659","5.77943","5.94046","1.7889","3260","52912","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Munchkin Adventure Time","146735","7","","0","0","0","0","0","0","0","0","0","3","","","","","","31717175","5.93945","6.56882","1.8857","2276","3234","thing","Munchkin Adventure Time","3","6","90","90","60","2014","3,4,5,6","3,4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Mysterium","181304","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","36969445","7.32361","7.48495","1.9242","136","24500","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Mystic Vale","194607","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","41486897","6.9264","7.30823","2.3","410","6782","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Mystic Vale: Vale of Magic","207591","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","41486962","6.32592","7.66116","2.2857","0","2485","thing","Mystic Vale: Vale of Magic","2","4","60","60","45","2016","2,3,4","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Mystic Vale: Vale of the Wild","220502","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43294058","6.09689","8.08166","0","0","1612","thing","Mystic Vale: Vale of the Wild","2","4","45","45","45","2017","2,3,4","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","",""
"The Networks","72321","8","3","0","1","0","0","0","0","0","0","0","1","","","","","","44879605","6.77603","7.34773","2.5577","546","4379","thing","The Networks","1","5","90","90","60","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Neue Heimat","32944","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921632","6.16906","7.24285","2.6897","1515","503","thing","Neue Heimat","2","5","45","45","45","2007","3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Niña & Pinta","181382","0","","0","0","0","0","0","1","0","0","0","3","","","","","","47071082","5.62018","7.07477","3","5352","262","thing","Niña & Pinta","1","4","120","120","45","2016","1,2,3,4","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Nusfjord","234277","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46100299","6.07479","7.46706","2.8571","1793","778","thing","Nusfjord","1","5","100","100","20","2017","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","4","","0","0","0","0","0","0","0","0","0","3","","","","","","37236546","7.13045","7.30819","1.4106","244","21348","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Onirim","71836","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","43858027","6.47894","6.7275","1.6508","899","7140","thing","Onirim","1","2","15","15","15","2010","1,2","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Onirim (second edition)","156336","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43858028","6.89015","7.26833","1.6094","445","7238","thing","Onirim (second edition)","1","2","15","15","15","2014","1,2","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Ora et Labora","70149","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","42167227","7.49584","7.76492","3.8899","80","10036","thing","Ora et Labora","1","4","180","180","60","2011","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Orléans","164928","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","37234155","7.84595","8.08651","3.1041","24","13155","thing","Orléans","2","4","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Orléans: Trade & Intrigue","204814","0","","0","0","0","0","0","0","0","0","1","3","","","","","","44711427","6.61134","8.51083","3.2","0","3267","thing","Orléans: Trade & Intrigue","1","5","90","90","90","2016","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"The Palaces of Carrara","129948","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921530","6.80676","7.24489","2.6082","519","3669","thing","The Palaces of Carrara","2","4","60","60","60","2012","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Panamax","131287","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921525","6.87471","7.38823","3.7685","456","4159","thing","Panamax","2","4","100","100","100","2014","3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Pandemic","30549","4","4","0","0","0","0","0","0","0","0","0","3","","","","","","31976535","7.57225","7.66182","2.4278","65","100529","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","7","12","2","0","0","0","0","0","1","0","0","4","","","","","","31716711","8.49604","8.66143","2.8043","2","36852","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Panthalos","159446","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921691","5.68294","6.87107","2.9231","4198","317","thing","Panthalos","2","5","90","90","60","2014","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Patchwork","163412","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","34595118","7.66088","7.78377","1.7069","49","35396","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Pax Pamir","155255","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428447","6.39449","7.65221","3.5606","1033","1900","thing","Pax Pamir","2","5","120","120","60","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Pax Porfiriana","128780","0","","0","0","0","0","0","1","0","0","0","1","","","","","","46977466","6.96738","7.70096","3.4709","361","3597","thing","Pax Porfiriana","1","6","120","120","120","2012","2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Pax Renaissance","198953","8","1","0","0","0","0","0","0","0","0","1","2","","","","","","46128114","6.60974","8.0807","4.2466","724","2416","thing","Pax Renaissance","2","4","120","120","60","2016","2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Photosynthesis","218603","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46100293","6.79222","7.46884","2.4","530","4802","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Pirate Fluxx","73538","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","31717101","5.90699","6.20495","1.4261","2452","4678","thing","Pirate Fluxx","2","6","40","40","10","2011","2,3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Potion Explosion","180974","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","40656931","6.90938","7.22383","1.7196","424","8452","thing","Potion Explosion","2","4","60","60","30","2015","2,3,4","","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Power Grid","2651","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","31716575","7.84094","7.92486","3.284","26","51624","thing","Power Grid","2","6","120","120","120","2004","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Power Grid Deluxe: Europe/North America","155873","10","5","3","1","0","0","0","0","0","0","0","3","","","","","","31474009","7.31054","8.10734","3.2095","147","4532","thing","Power Grid Deluxe: Europe/North America","2","6","120","120","120","2014","2,3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Power Grid: China/Korea","37397","9","1","0","1","0","0","0","0","0","0","0","1","","","","","","32173243","7.29736","8.05374","3.2775","0","6895","thing","Power Grid: China/Korea","2","6","120","120","120","2008","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Power Grid: The Card Game","203780","7","1","0","0","0","0","0","0","0","0","0","1","","","","","","38432976","6.20131","6.9543","2.3333","1445","2359","thing","Power Grid: The Card Game","2","6","60","60","45","2016","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Princes of the Renaissance","8045","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921703","6.76483","7.45671","3.5177","557","2301","thing","Princes of the Renaissance","3","6","180","180","180","2003","4,5,6","5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Puerto Rico","3076","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","31716705","7.96263","8.07295","3.2943","14","58504","thing","Puerto Rico","2","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Puerto Rico: Expansion I – New Buildings","12382","0","","0","1","0","0","0","0","0","0","0","1","","","","","","47518358","6.91388","7.54275","3.2077","0","5635","thing","Puerto Rico: Expansion I – New Buildings","2","5","90","90","90","2004","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","",""
"Québec","91984","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921643","6.42487","7.16026","2.9754","976","1881","thing","Québec","2","5","75","75","75","2011","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Ra","12","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","46481656","7.34173","7.4717","2.352","130","15256","thing","Ra","2","5","60","60","45","1999","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Race for the Galaxy","28143","8","10","0","1","0","0","0","0","0","0","0","4","","","","","","35810537","7.67602","7.76651","2.9727","45","43857","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Race for the Galaxy: The Gathering Storm","34499","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","38400398","7.78065","8.08041","2.9784","0","18554","thing","Race for the Galaxy: The Gathering Storm","1","5","60","60","60","2008","1,2,3,4,5","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","",""
"Red7","161417","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","33158992","6.80596","7.00443","1.6725","523","11639","thing","Red7","2","4","30","30","5","2014","2,3,4","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"The Resistance: Avalon","128882","5","4","0","0","0","0","0","0","1","0","0","3","","","","","","31716553","7.51718","7.68661","1.7826","76","25709","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Roads & Boats","875","0","","0","1","0","0","0","1","0","0","0","3","","","","","","44525360","7.10746","7.74914","4.19","254","3535","thing","Roads & Boats","1","4","240","240","240","1999","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Robinson Crusoe: Adventures on the Cursed Island","121921","0","","0","0","0","0","0","1","0","0","0","1","","","","","","32747815","7.80361","7.97559","3.7185","29","32148","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Rocca Town","175735","0","","0","0","0","0","0","0","0","0","0","1","","","","","","43191862","0","6.70962","2","0","53","thing","Rocca Town","2","10","20","20","10","2015","","","6+","","","","","","","standalone","","","","","","","","","","","",""
"Rococo","144344","0","","0","0","0","0","0","1","0","0","1","3","","","","","","46921597","7.21729","7.57075","3.1176","187","6507","thing","Rococo","2","5","120","120","60","2013","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Roll for the Galaxy","132531","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","35499324","7.6534","7.80726","2.7586","51","22048","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Rolling Stock","99630","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428495","5.76911","7.51806","3.9231","3290","226","thing","Rolling Stock","3","5","240","240","240","2011","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Russian Railroads","144733","0","","0","0","0","0","0","1","0","0","0","3","","","","","","37234667","7.58357","7.80972","3.4127","60","10879","thing","Russian Railroads","2","4","120","120","90","2013","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Saboteur","9220","6","9","0","0","0","0","0","0","0","0","0","3","","","","","","33452726","6.52409","6.62565","1.3316","836","26561","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Saboteur 2 (expansion-only editions)","91072","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","33452728","6.61255","7.01653","1.5312","0","8689","thing","Saboteur 2 (expansion-only editions)","2","12","45","45","45","2011","4,5,6,7,8,9,10,11","5,6,7,8","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Sail to India","141736","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","42097650","6.36814","6.80566","2.203","1079","4140","thing","Sail to India","3","4","60","60","60","2013","3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Saint Petersburg (second edition)","156943","8","1","0","0","0","0","0","0","0","0","1","2","","","","","","45765159","6.86474","7.61147","2.7079","465","2929","thing","Saint Petersburg (second edition)","2","5","60","60","60","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Santorini","194655","0","","0","0","0","0","0","1","0","0","0","3","","","","","","43858473","7.56755","7.88609","1.7628","66","13453","thing","Santorini","2","4","20","20","20","2016","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Scythe","169786","9","3","0","0","0","0","0","0","0","0","1","3","","","","","","36574094","8.08738","8.29061","3.3511","8","30923","thing","Scythe","1","5","115","115","90","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Scythe: Invaders from Afar","199727","0","","0","0","0","0","0","0","0","0","0","3","","","","","","42168955","7.50163","8.42299","3.3333","0","11167","thing","Scythe: Invaders from Afar","1","7","140","140","90","2016","1,2,3,4,5,6,7","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","",""
"Secret Hitler","188834","7","18","0","1","0","0","0","0","0","0","0","3","","PnP","","","","32510560","7.19852","7.61404","1.7719","201","8712","thing","Secret Hitler","5","10","45","45","45","2015","6,7,8,9,10","10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","(Self-Published)","English","2015","Print & Play edition"
"Seikatsu","216428","0","","0","0","0","0","0","1","0","0","0","3","","","","","","45174172","5.81924","7.39304","1.5","2944","437","thing","Seikatsu","1","4","30","30","15","2017","1,2,3,4","3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","2511","0","","0","0","0","0","0","1","0","0","0","3","","","","","","43858452","7.59622","7.83549","2.7705","58","21054","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","1981","1,2,3,4,5","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","",""
"Shipyard","55600","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921559","6.90851","7.38453","3.4794","420","3951","thing","Shipyard","2","4","120","120","120","2009","2,3,4","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Skull","92415","7","8","0","1","0","0","0","0","0","0","0","3","","PnP","","","","45648358","6.86553","7.10137","1.1654","467","9040","thing","Skull","3","6","45","45","45","2011","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Small City","130486","0","","0","0","0","0","0","1","0","0","1","2","","","","","","45646373","6.11283","7.59268","3.9556","1671","932","thing","Small City","1","4","120","120","60","2015","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Small World","40692","5","1","0","0","0","0","0","0","0","0","0","1","","","","","","31716651","7.25425","7.33656","2.3671","165","60265","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Splendor","148228","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","36972216","7.4052","7.51298","1.8345","106","47515","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Star Realms","147020","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","43361303","7.49628","7.63626","1.9726","81","33540","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","8","1","0","0","0","0","0","0","0","0","0","1","","","","","","32747812","7.86913","8.16068","3.2754","22","23057","thing","Star Wars: Imperial Assault","2","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Star Wars: Rebellion","187645","7","1","0","0","0","0","0","0","0","0","0","1","","","","","","35818880","8.16723","8.50387","3.5979","5","18068","thing","Star Wars: Rebellion","2","4","240","240","180","2016","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Star Wars: X-Wing Miniatures Game","103885","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","36375403","7.63093","7.84443","2.4713","56","31272","thing","Star Wars: X-Wing Miniatures Game","2","2","45","45","30","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Sushi Go!","133473","6","7","0","0","0","0","0","0","0","0","0","3","","","","","","31773664","7.01561","7.12929","1.1704","326","35942","thing","Sushi Go!","2","5","15","15","15","2013","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"T.I.M.E Stories","146508","8","","0","0","0","0","0","0","0","0","0","3","","","","","","37006956","7.73023","7.94723","2.6657","37","21636","thing","T.I.M.E Stories","2","4","240","240","90","2015","3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","",""
"Tales of the Arabian Nights","34119","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","37904203","7.04303","7.26529","2.17","305","13676","thing","Tales of the Arabian Nights","1","6","120","120","120","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Telestrations","46213","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","34468745","7.18658","7.42984","1.1014","208","11166","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Telestrations After Dark","173761","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43260882","6.00091","7.1378","1","2037","1300","thing","Telestrations After Dark","4","8","30","30","20","2015","4,5,6,7,8","6,7,8","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","",""
"Telestrations: 12 Player Party Pack","153016","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","43260890","6.76248","7.82435","1.0968","566","2590","thing","Telestrations: 12 Player Party Pack","4","12","30","30","0","2011","6,7,8,9,10,11,12","12","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Terra Mystica","120677","10","22","5","1","0","0","0","0","0","0","0","3","","","","","","31716534","8.12613","8.26975","3.9441","7","30904","thing","Terra Mystica","2","5","150","150","60","2012","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Terra Mystica: Fire & Ice","161317","9","1","0","1","0","0","0","0","0","0","0","1","","","","","","35099832","7.65802","8.53748","3.8824","0","8098","thing","Terra Mystica: Fire & Ice","2","5","100","100","100","2014","2,3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Terraforming Mars","167791","8","2","0","0","0","0","0","0","0","0","1","4","","","","","","40678767","8.16362","8.38048","3.2511","6","24400","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Three Kingdoms Redux","145371","8","1","0","0","0","0","0","0","0","0","1","2","","","","","","43401024","6.41824","8.09189","3.9672","988","1173","thing","Three Kingdoms Redux","3","3","165","165","135","2014","3","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Through the Ages: A New Story of Civilization","182028","10","2","4","1","0","0","0","0","0","0","0","3","","","","","","34024362","8.32536","8.66556","4.3518","3","13664","thing","Through the Ages: A New Story of Civilization","2","4","240","240","180","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Through the Ages: A Story of Civilization","25613","9","1","0","0","0","0","0","0","1","0","0","3","","","","","","31716696","7.88462","8.05661","4.1712","19","16221","thing","Through the Ages: A Story of Civilization","2","4","240","240","240","2006","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
